date_time,open,high,low,close,volume
29-01-2024,95.98,102,95.08,101.68,911157.6
30-01-2024,101.68,106.53,100.91,101.43,1185681.754
31-01-2024,101.43,102.76,95.88,96.93,1596560.679
01-02-2024,96.93,98.12,93.08,97.82,1220128.867
02-02-2024,97.82,102.62,97.4,100.58,1063097.722
03-02-2024,100.58,101.27,96.6,97.95,484620.093
04-02-2024,97.95,98.58,95,95.48,586252.204
05-02-2024,95.48,98.7,94.14,95.65,855256.908
06-02-2024,95.65,97.91,93,96.87,802916.908
07-02-2024,96.87,101.59,94.61,101.14,737678.635
08-02-2024,101.14,104.95,100.5,102.77,1103630.602
09-02-2024,102.77,109.16,102.77,106.95,1475691.062
10-02-2024,106.95,110.89,106.89,109.01,820436.811
11-02-2024,109.01,110.67,107.11,107.47,699739.271
12-02-2024,107.47,112.21,103.41,111.64,1193874.471
13-02-2024,111.64,115.2,108,112.48,1250379.34
14-02-2024,112.48,118.72,110.61,117.01,1057311.218
15-02-2024,117.01,118.39,111.45,113.52,1146624.134
16-02-2024,113.52,114.23,107.82,110.32,1234673.565
17-02-2024,110.32,111.05,105.56,108.91,860924.293
18-02-2024,108.91,114.03,107.48,112.21,875556.931
19-02-2024,112.21,114.86,110.78,111.54,977334.946
20-02-2024,111.54,112.13,102.62,108.32,1621022.53
21-02-2024,108.32,108.41,100.22,105.05,1315142.149
22-02-2024,105.05,107.1,101.51,101.75,967038.751
23-02-2024,101.75,103.13,98.63,99.9,935505.015
24-02-2024,99.9,104.8,98.42,104.03,652851.607
25-02-2024,104.03,104.42,102,103.48,501983.516
26-02-2024,103.48,110.8,100.27,109.91,1364677.579
27-02-2024,109.91,112.38,105.25,108.36,1650008.791
28-02-2024,108.36,119.15,106.13,119.09,3323308.065
29-02-2024,119.09,134.68,117.11,125.64,3894261.553
01-03-2024,125.64,137.87,125.56,129.33,2654350.107
02-03-2024,129.33,131.66,126.89,130.03,1674623.562
03-03-2024,130.03,132.16,123.81,130.17,1551297.678
04-03-2024,130.17,134.96,127.26,133.31,2059150.747
05-03-2024,133.31,142.77,103.5,125.31,5311260.73
06-03-2024,125.31,134.97,120.03,130.82,2564822.89
07-03-2024,130.82,149.35,130.53,143.83,3088976.495
08-03-2024,143.83,152.65,141.95,144.76,2376716.313
09-03-2024,144.76,149.16,143.5,144.29,856316.588
10-03-2024,144.29,148.51,140.43,144.41,1072136.996
11-03-2024,144.41,150.25,135.95,148.87,1792913.831
12-03-2024,148.87,155.04,141.41,151.04,2332027.02
13-03-2024,151.04,166.75,148.74,163.88,1706115.28
14-03-2024,163.88,178.44,159.15,176.69,2517379.468
15-03-2024,176.69,189.03,164.38,184.01,4370863.752
16-03-2024,184.01,197.91,176.56,182.07,2883666.246
17-03-2024,182.07,204.79,178.55,201.81,2466026.279
18-03-2024,201.81,210.25,193.96,195.9,2774067.857
19-03-2024,195.9,198.67,166,169.88,3946098.079
20-03-2024,169.88,193.19,162.39,191.79,2636222.745
21-03-2024,191.79,195.64,175.9,179.45,1448145.598
22-03-2024,179.45,181.94,167.65,175.1,1264203.894
23-03-2024,175.1,179,170.37,172.66,801820.579
24-03-2024,172.66,186.77,171.32,183.88,632691.958
25-03-2024,183.88,194.5,180.99,188.99,844138.196
26-03-2024,188.99,196.62,186.2,190.43,772371.633
27-03-2024,190.43,192.74,180.04,186.31,886333.662
28-03-2024,186.31,191.07,180.58,189.68,708902.306
29-03-2024,189.68,193.19,183.33,192.1,689811.628
30-03-2024,192.1,200.14,190.74,194.2,629793.435
31-03-2024,194.2,203.22,193.71,202.46,505126.694
01-04-2024,202.46,204.51,186.81,192.2,944471.368
02-04-2024,192.2,192.27,175.93,181.53,1112515.427
03-04-2024,181.53,191.78,176.85,185.07,942357.257
04-04-2024,185.07,190.26,180.16,184.03,694763.986
05-04-2024,184.03,185.16,168.04,174.4,1033350.306
06-04-2024,174.4,179.95,173.48,178.7,434541.769
07-04-2024,178.7,182.67,176.86,179.58,449509.856
08-04-2024,179.58,184.69,175.27,180.7,612458.672
09-04-2024,180.7,180.91,169.06,172.4,734342.026
10-04-2024,172.4,175.48,162.35,173.34,1099338.344
11-04-2024,173.34,176.35,170,172.35,791143.744
12-04-2024,172.35,175.94,139.55,153.19,1910915.454
13-04-2024,153.19,154.97,113,138.35,4792179.032
14-04-2024,138.35,152.87,130.44,151.23,3351814.454
15-04-2024,151.23,156.06,133.62,138.53,2818242.543
16-04-2024,138.53,140.6,126.45,136.23,2422457.065
17-04-2024,136.23,142.72,126.86,131.84,2165868.381
18-04-2024,131.84,143.99,127.59,142.06,1810462.758
19-04-2024,142.06,147.51,128.41,142.47,2262314.587
20-04-2024,142.47,152.42,139.68,151.22,973246.851
21-04-2024,151.22,153.49,146.75,148.82,715140.224
22-04-2024,148.82,158.58,146.65,156.98,1100048.639
23-04-2024,156.98,160.04,153.02,154.76,803326.373
24-04-2024,154.76,159.78,145.53,147.78,1314253.128
25-04-2024,147.78,150.09,142.06,144.86,1267665.245
26-04-2024,144.86,146.2,138.71,139.25,814116.001
27-04-2024,139.25,143.04,132.55,141.33,868097.419
28-04-2024,141.33,144.76,137.05,137.99,507410.287
29-04-2024,137.99,138.95,133.37,137.79,889062.225
30-04-2024,137.79,139.79,121.24,126.75,1359805.031
01-05-2024,126.75,135.96,118,134.63,2233516.557
02-05-2024,134.63,140.97,128.28,137.57,1444495.765
03-05-2024,137.57,144.99,135.59,143.68,1145117.408
04-05-2024,143.68,149.19,142.23,146.05,656077.155
05-05-2024,146.05,148,143.18,145.74,444320.739
06-05-2024,145.74,156.93,145.42,152.87,1192115.606
07-05-2024,152.87,159.31,147.77,148.04,1086549.45
08-05-2024,148.04,149.99,140.02,142.18,1033834.789
09-05-2024,142.18,153.43,140.57,152.55,839332.649
10-05-2024,152.55,155.73,144.44,146.04,1206087.307
11-05-2024,146.04,147.69,143.07,145.41,472327.204
12-05-2024,145.41,147.77,142.5,143.43,362620.019
13-05-2024,143.43,150.82,137.86,147.51,1235777.011
14-05-2024,147.51,149.08,141.83,142.04,982029.298
15-05-2024,142.04,158.84,141.23,158.51,1073462.549
16-05-2024,158.51,164.8,156.61,159.37,1218536.798
17-05-2024,159.37,172.07,159.34,169.42,879744.367
18-05-2024,169.42,175.94,168.64,172.41,649370.335
19-05-2024,172.41,175.5,166.16,169.91,602230.741
20-05-2024,169.91,188.32,167.49,186.71,1217334.59
21-05-2024,186.71,188.93,174.34,178.16,1284538.88
22-05-2024,178.16,183.54,175.03,176.98,1106804.097
23-05-2024,176.98,181.19,165.01,176.14,1942031.203
24-05-2024,176.14,176.14,162.48,167.67,955737.5
25-05-2024,167.67,170.54,165.88,168.37,625837.69
26-05-2024,168.37,168.41,160.93,163.44,680802.019
27-05-2024,163.44,172.29,163.32,170.16,790064.548
28-05-2024,170.16,173.29,164.92,168.71,1118284.951
29-05-2024,168.71,173.93,167.15,168.32,915384.095
30-05-2024,168.32,172.62,163.5,166.88,927811.198
31-05-2024,166.88,171.02,163.82,165.66,770461.926
01-06-2024,165.66,167.98,165.66,166.14,289167.686
02-06-2024,166.14,167.13,161.33,163.15,447664.512
03-06-2024,163.15,167.27,161.79,164.92,837578.692
04-06-2024,164.92,171.87,164.31,171.76,681691.093
05-06-2024,171.76,175.61,171.13,173.55,839818.332
06-06-2024,173.55,174.36,167.56,170.15,651321.712
07-06-2024,170.15,172.85,151.74,162.51,1290101.062
08-06-2024,162.51,163.8,157.34,157.83,611465.997
09-06-2024,157.83,163.06,156.53,162.1,506371.246
10-06-2024,162.1,163.19,157.46,159.05,713978.98
11-06-2024,159.05,159.76,145.11,149.31,1459995.678
12-06-2024,149.31,161.8,145.43,155.21,1443600
13-06-2024,155.21,155.21,146.07,147.28,1137041.831
14-06-2024,147.28,149.02,139.49,143.04,1045013.175
15-06-2024,143.04,145.77,142.89,145.52,562728.065
16-06-2024,145.52,151.38,143.01,151.29,651837.197
17-06-2024,151.29,151.76,139.79,143.27,1142249.566
18-06-2024,143.27,143.8,125.95,137.42,1951425.351
19-06-2024,137.42,141.92,134.44,135.62,1077649.051
20-06-2024,135.62,141.31,131.86,133.57,982663.851
21-06-2024,133.57,135.4,128.73,134.63,1064499.87
22-06-2024,134.63,136.77,132.96,133.69,442809.732
23-06-2024,133.69,135.12,128.19,128.67,510010.917
24-06-2024,128.67,132.64,121.78,132.33,1701515.284
25-06-2024,132.33,139.93,131.19,136.58,907448.547
26-06-2024,136.58,140.43,134.83,136.8,759321.755
27-06-2024,136.8,151.25,135.17,149.68,1179390.966
28-06-2024,149.68,150.8,138.98,140.03,1040876.216
29-06-2024,140.03,143.22,139.65,140.27,450889.47
30-06-2024,140.27,147.72,137.11,146.61,670392.209
01-07-2024,146.61,149.37,145.83,146.68,786848.01
02-07-2024,146.68,155,146.13,154.03,885618.235
03-07-2024,154.03,154.5,139,140.82,1278154.377
04-07-2024,140.82,142.75,127.15,127.84,1820652.424
05-07-2024,127.84,136.44,120.66,134.29,2449750.49
06-07-2024,134.29,144.28,132.32,143.03,803539.171
07-07-2024,143.03,143.33,131.23,131.65,809821.889
08-07-2024,131.65,142.06,127.77,139.77,1667032.617
09-07-2024,139.77,144.38,136.42,141.43,1290583.765
10-07-2024,141.43,146.25,138.57,141.99,821772.14
11-07-2024,141.99,146.2,135.64,135.74,846396.147
12-07-2024,135.74,140.57,133.9,139.45,715986.528
13-07-2024,139.45,143.62,137.93,141.89,406360.37
14-07-2024,141.89,148.54,141.88,147.67,671407.636
15-07-2024,147.67,159.96,147.02,159.38,951243.965
16-07-2024,159.38,162.52,152.54,160.64,1181785.457
